Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
1011,9760,50,6375,1.5,6250,30,509,7084
1012,8800,40,6275,1.4,6005,20,480,8578
1013,21940,50,13470,1.6,12560,30,471,6581
1014,3660,60,1705,2.1,1745,50,731,3309
1015,14910,50,9875,1.5,9965,30,532,11080
1016,11130,50,7405,1.5,7665,30,606,11457
1017,13105,50,8305,1.6,8265,40,734,9521
1018,21055,50,12760,1.6,11750,30,494,6959
1019,19840,60,10355,1.9,9800,40,531,4354
1021,6940,40,3815,1.8,3650,20,333,2921
1022,4145,50,2110,2.0,2360,30,321,2748
1023,4595,70,2275,2.0,2215,30,421,2606
1024,13750,30,6155,2.2,5760,30,329,2627
1025,16305,40,8620,1.9,7860,30,333,3037
1026,545,80,210,2.6,205,80,794,112
1027,545,80,255,2.1,215,70,774,192
1028,630,90,250,2.5,265,90,828,41
1031,7830,40,4420,1.8,4120,20,379,3294
1032,6210,60,3075,2.0,2945,30,369,3009
1033,13220,60,7375,1.8,7270,20,298,2211
1034,14925,40,6760,2.2,6325,30,339,2649
1035,10750,60,4610,2.3,4365,50,414,2017
1036,2670,50,920,2.9,825,60,566,2659
1037,140,90,65,2.2,-99997,-99997,-99997,312
1041,5,-99997,5,1.2,10,-99997,733,101
1042,20,80,10,1.8,10,-99997,207,124
1043,945,20,780,1.2,765,0,191,2196
1046,110,20,95,1.2,30,-99997,468,305
1047,55,70,35,1.6,-99997,-99997,-99997,88
1051,13130,50,7930,1.7,7705,30,410,8990
1052,12215,50,7430,1.6,7360,30,433,11582
1053,16535,50,10490,1.6,10155,30,422,11711
1054,17115,50,10410,1.6,10030,30,570,9977
1055,20905,40,11940,1.7,11410,30,344,7042
1056,20690,40,10365,1.7,9885,30,396,10060
1057,17345,40,10005,1.7,9165,20,397,10790
1058,15700,50,8960,1.8,8450,30,479,8262
1059,7065,50,4315,1.6,4085,30,380,6171
1060,9930,40,4120,2.4,3725,70,461,3188
1061,16710,20,8110,2.0,7155,20,363,5930
1062,14250,30,8805,1.6,8275,10,293,5646
1063,12445,20,6050,2.1,5535,30,285,3864
1064,16660,30,8135,2.0,7705,20,302,3960
1065,11980,30,6035,2.0,5640,20,320,4361
1066,19010,40,8900,2.1,7925,40,435,2910
1067,20120,20,8395,2.3,7565,30,349,2708
1068,17430,30,9320,1.9,8530,20,293,3944
1069,26095,30,12045,2.1,10880,30,315,4075
1071,12625,50,6860,1.8,6980,40,1013,7924
1072,13635,50,8935,1.5,8790,20,446,10175
1073,13150,50,8320,1.6,8285,20,444,11307
1074,8220,50,5155,1.6,4995,20,465,10915
1075,10605,50,5935,1.8,5790,30,744,7783
1076,11300,50,6465,1.7,6245,20,491,5136
1077,9930,50,4610,2.2,4475,60,1183,5302
1078,14655,60,8320,1.8,7795,30,551,8662
1079,14680,60,8815,1.6,8435,20,459,6091
1081,5330,50,2980,1.8,2900,40,548,2658
1082,12495,40,7240,1.7,7025,30,492,4151
1083,7780,40,4730,1.6,4705,30,373,3226
1086,4300,50,1655,2.6,1625,50,528,1166
1087,19860,40,8040,2.5,7840,50,536,1805
1091,16725,40,10160,1.6,9290,30,441,8830
1092,8890,40,4895,1.8,4725,30,457,8196
1093,9960,40,5705,1.7,5530,30,424,8706
1094,12295,40,6945,1.8,6705,30,387,8288
1095,15010,40,8375,1.8,8155,20,375,4572
1096,5420,50,3470,1.5,4100,20,428,3034
1097,15345,50,8800,1.7,8530,20,398,4894
1098,15470,60,8380,1.8,8025,40,499,4866
1101,140,10,115,1.2,-99997,-99997,-99997,1482
1102,24430,20,14145,1.7,12795,20,214,3424
1103,14200,20,7570,1.9,6335,40,298,3626
1104,15695,20,8195,1.9,6860,30,269,3265
1105,2460,20,2070,1.2,1245,0,-99997,1681
1106,17685,30,8730,2.0,8095,30,274,2451
1107,11455,30,5940,1.9,5395,30,275,2302
1108,2950,40,1750,1.7,1675,40,264,2061
1109,1645,80,685,2.4,680,60,401,451
1111,14775,50,7390,2.0,6655,50,384,2507
1112,13575,40,7220,1.9,7820,30,335,3584
1113,3470,60,1625,2.1,1590,40,425,1247
1114,75,50,35,1.7,20,-99997,510,1369
1115,5280,60,2705,1.9,2620,40,408,2111
1117,10,-99997,5,1.1,-99997,-99997,-99997,83
1118,40,-99997,25,1.5,-99997,-99997,-99997,75
1119,25,30,20,1.2,-99997,-99997,-99997,426
1121,10305,80,4365,2.3,4380,70,467,1151
1127,845,90,345,2.4,350,80,731,94
1131,8820,90,4250,2.0,4455,70,307,1757
1132,13755,90,4935,2.8,5025,90,376,1497
1135,7210,80,3210,2.2,3280,70,373,1266
1141,9490,80,4205,2.2,4125,70,367,990
1145,325,80,115,2.8,110,80,656,151
1151,2780,80,1160,2.4,1080,70,591,299
1153,315,80,120,2.7,110,90,749,50
