Feature,PC2_Loading
eucl_dist_to_Eerste Constantijn Huygensstraat / Overtoom_sqrt,0.09423144863983365
eucl_dist_to_Van Baerlestraat_sqrt,0.09370263068895882
eucl_dist_to_Concertgebouw_sqrt,0.09343348165248934
eucl_dist_to_Museumplein_sqrt,0.09314633119359514
eucl_dist_to_Cornelis Schuytstraat_sqrt,0.09263955500722702
eucl_dist_to_Kinkerstraat / Bilderdijkstraat_sqrt,0.09241925273389448
eucl_dist_to_Roelof Hartplein_sqrt,0.09212550672941178
eucl_dist_to_Leidseplein_sqrt,0.09208081696379997
eucl_dist_to_Elandsgracht_sqrt,0.09178484340687586
eucl_dist_to_Gerrit van der Veenstraat_sqrt,0.0917684642035309
eucl_dist_to_Stadionweg / Beethovenstraat_sqrt,0.09097191380742206
eucl_dist_to_Rozengracht / Marnixstraat_sqrt,0.09031544664472671
eucl_dist_to_Minervaplein_sqrt,0.09023723055624933
eucl_dist_to_Ten Katestraat_sqrt,0.09019257057785532
eucl_dist_to_De Clercqstraat / Bilderdijkstraat_sqrt,0.08983564431791448
eucl_dist_to_Tuinen van West_sqrt,0.08974981352012068
eucl_dist_to_Prinses Irenestraat_sqrt,0.08927612719075335
eucl_dist_to_Beatrixpark_sqrt,0.0892383487760007
eucl_dist_to_Rijksmuseum_sqrt,0.08910616338492
eucl_dist_to_Bloemgracht_sqrt,0.08887933484706803
eucl_dist_to_Hugo de Grootplein_sqrt,0.08862472223969461
eucl_dist_to_Vondelpark_sqrt,0.088482321965613
eucl_dist_to_Keizergracht_sqrt,0.0880658460972829
eucl_dist_to_Olympiaplein_sqrt,0.0879294454290804
eucl_dist_to_Station Zuid_sqrt,0.08757093525705605
eucl_dist_to_Valeriusplein_sqrt,0.08724112609338983
eucl_dist_to_Station Amsterdam Zuid/WTC_sqrt,0.08689234568623945
eucl_dist_to_Drenthepark_inverse,0.08633228872889248
eucl_dist_to_Marie Heinekenplein_sqrt,0.08607074710724906
eucl_dist_to_J.P. Heijestraat_sqrt,0.08603648510687482
eucl_dist_to_Marnixplein_sqrt,0.08591494974942102
eucl_dist_to_De Pijp_sqrt,0.08573989319752535
eucl_dist_to_Parnassusweg_sqrt,0.0856854290772415
eucl_dist_to_Fredrik Hendrikplantsoen_sqrt,0.08560968939934803
eucl_dist_to_Europaplein_inverse,0.08554025958148083
eucl_dist_to_Uilenstede_inverse,0.08551476304970146
eucl_dist_to_Station RAI_inverse,0.08550960753843763
eucl_dist_to_Vijzelgracht /Weteringcircuit_sqrt,0.08550570033450601
eucl_dist_to_Vijzelgracht_sqrt,0.08550570033450601
eucl_dist_to_Tweede Van der Helststraat_inverse,0.08542419222531188
eucl_dist_to_Cornelis Troostplein / Van Hillegaertstraat_sqrt,0.08526125706314697
eucl_dist_to_Willem de Zwijerlaan_sqrt,0.08511925508991679
eucl_dist_to_Dintelstraat_inverse,0.08501971193511969
eucl_dist_to_Westermarkt_sqrt,0.08472906279401797
eucl_dist_to_Koningsplein_sqrt,0.08467422178336487
eucl_dist_to_Kronenburg_inverse,0.08411457375817726
eucl_dist_to_Rhijnvis Feithstraat_sqrt,0.08409181444407346
eucl_dist_to_De Boelelaan/VU_sqrt,0.08408842003887723
eucl_dist_to_Maasstraat_inverse,0.08394274684227589
eucl_dist_to_Sarphatipark_inverse,0.08299162967907782
eucl_dist_to_Station RAI Amsterdam_sqrt,0.0829361567555176
eucl_dist_to_Zonnestein_inverse,0.08288686726504936
eucl_dist_to_A.J. Ernststraat_sqrt,0.08251732523924317
eucl_dist_to_Witte de Withstraat_sqrt,0.08247452942069942
eucl_dist_to_Nassaukade_sqrt,0.08242926379113373
eucl_dist_to_Amstelland_inverse,0.08226008550397766
eucl_dist_to_Olympiaweg_sqrt,0.08202410748715767
